Yayasan,Alamat,Telp
Pondok Pesantren AL FALAH,Jl. Poros batumarta III Blok D  Lubuk Raja,
Sudah inisiatif sendiri oleh Dinas Kabupaten untuk,,
Sudah inisiatif sendiri oleh Dinas Kabupaten untuk,,
Sudah inisiatif sendiri oleh Dinas Kabupaten untuk,,
Sudah inisiatif sendiri oleh Dinas Kabupaten untuk,,
Pondok Pesantren RAUDHATUL ISTIQOMAH,"Jl. Lirboyo Surabaya, Kec.Madang v",
Yayasan NURUL HIKMAH AL ISLAMIYAH,"Desa Cintamanis Baru, Kec. Banyuasin I, Kab. Banyu Asin Telp. 085971142080",
Pondok Pesantren DARUL IMAN,Seri Kembang Muara Kuang Ogan Ilir Sumsel,
Pondok Pesantren DARUSSALAM Seri Kembang,Jl. Merdeka Km. 61 No.098 Seri Kembang Kec. Payaraman,0712 360282 / 081373582400
Pondok Pesantren INAYATULLAH,"Jl. Pondok Pesantren Inayatulah  No.01 Desa Limbang Jaya, Kec. Tanjung Batu",HP  081373257591
Pondok Pesantren NURUL ULUM,Jl. Sema Kdt. Alihanafiah Desa Talang Sari Kec. Rantau Alai Kab. Ogan Ilir,0852 68016881
Pondok Pesantren MASDARUL ULUM,"Jl. Mayor Iskandar Desa Teluk Kecapi, Kec.Pemulutan Kab.OKI;",0711-7024424
Pondok Pesantren AR RAHMAN,"Jl. Tegal Binangun Plaju Darat, Kec. Plaju, Kota Palembang","0813-67277497, 0812-7364021, 08136767612"
Ponpes Miftahul Ulum,Jl.Shinta Rt.6/3 Desa Makarti Jaya Kec.Makarti,
Ponpes Qodratullah,Jl.Raya Palembang-Jambi Rt.2 Desa Langkan Kec.Banyuasin III,
Ponpes Al Kautsar,"Jl. Raya Tanjung Payang, Ds.Tanjung Payang,  Lahat,",
Ponpes Al Ittifaqiah,Jl.Lintas Timur Desa Indralaya,
Yayasan Ponpes Roudlotul Quran,Kel.Simpang Sender Kec.BPR Ranau Tengah,
Pondok Pesantren Salafiyah Mambaul Ulum,"Desa Sumedang Sari Kp. III, Kec. Buay Madang Timur, Kab. OKU Timur",
Ponpes Ar Riyadh,Jl.Kol.Dani Effendi No.725 RT.54/V Kel.Talang Betutu Kec. Sukarami,
Pondok Pesantren Hidayatul Mubtadin,Desa Sidomulyo Kec. Tungkal Ilir Kab. Banyuasin,_
Pendidikan Islam Darul Funun,Ds.Tambang Rambang Kec.Rambang Kuang,0813 6842 1343
Ponpes Shoaatul Fatikh,Desa Sumber Deras Kec.Mesuji,0812 7203 7941
Pondok Pesantren Modern Muhammadiyah AL MUBAARAK,Jl. Raya Karang Indah Samsat Pagar Dewa RT 02,
Pondok Pesantren Al Mansyuriyyah,"Dusun Kebon Jati, Desa Jeranglah Rendah, Kec. Manna, Bengkulu  Selatan",
Pondok Pesantren DARUNNAJA,"Dusun Pemandi, Desa Urai, Kec. Ketahun, Bengkulu Utara 38361",
Pondok Pesantren Salafiah Darul Ulum,"Jl  A Yani, Sidomukti RT 01/02 Kec. Padang Jaya 38657",
Pondok Pesantren AULIYA RAHMAN,"Jl.BRT KM.10, Desa Aur RT.II Desa Tanjung Aur, Kec.Maje",
Pondok Pesantren DARUL ULUM,"Jl. Pasar Baru, Ds.Merpas, Kec. Nasal Kab. Kaur",
Pondok Pesantren Modern Darussalam,Raya Kepahiang Curup Kepahiang,
Panti Asuhan AL JIHAD Muhammadiyah,"Jl.Kampung Jawa Baru, Kel.Ps Muara Aman, Kec.Lebong Utara",
Pondok Pesantren DARUSSALAM Pondok Lunang,Desa Pondok Lunang Kec Muko-Muko Utara,
Yayasan Darul Amal Pondok Pesantren DARUL AMAL,Desa Tunggang Kec Pondok  Suguh,
Pondok Pesantren Salafiyah Al Manar Air Lang,"Jl.Diponegoro RT.09/03, Desa Air Lang, Kec. Sindang Dataran",
Pondok Pesantren DARUL ULUM,Kec. Seluma Selatan,
Pondok Pesantren MIFTAHUL HIDAYAH,Desa Bukit Peninjauan I RW 06 Kec Sukaraja,
Panti Asuhan Salam,Jl. M. Ali Amin No. 08 RT 06  Kel. Pematang Gubernur Kec. Muara Bangkahulu,
KP2A SUBAK TIRTA GANGGA,"Desa Rama Agung, Kec. Kota Arga Makmur, Kab. Bengkulu Utara",
Pusat Kegiatan Belajar Masyarakat  Majelis Talim M,"Jl.Sri Kuncoro No. 9, Desa Panca Mukti, Kec.Pondok Kelapa",0736-7008886
Pondok Pesantren Salafiyah MADINATUL HADHIR,"Desa Tanjung Medan, Kec.Muko Muko Selatan",0737-61425
Yayasan Al Bina,"Blok 3 Rt.9 Desa Pekik Nyaring,Kec.Pondok Kelapa",
Pondok Pesantren Nurul Haq,"Jl.Lintas Barat Desa Suku Tiga, Kec. Nasal, Kab. Kaur",
Ponpes Marhalah Wustho,Jl.Raya Padang Kempas DS.Suka Raja Kec. Tetap,
Ponpes Agribisnis  Raudhatunnajah,Jl.Lintas Bengkulu-Padang Km 227 Ds.Bandar Jaya Kec.Teramang Jaya,
Yayasan Pondok Pesantren Nurul Fatih,Jl.Lintas Bengkulu - Padang Wonosalam,
Yayasan Ponpes Al Barkah,Jl.Poros Sp.9 Tanjung Mulya Kec. Mukomuko Utara,
Pondok Pesantren Salafiah Mifathul Jannah,"Jl. Raya Curup Lubuk Linggau Km.16 Rt.7,Desa Karang Jaya, Kec. Selupu Rejang, Kab. Rejang Lebong",
Pondok Pesantren Roudlaotul Ulum,"Jl. Raya Bengkulu Tais Km. 21 Rt.1 Desa Jenggalu, Kec. Sukaraja",
Yayasan Mahad Rabbani,Jl. Mayjen Sutoyo No. 18 Tanah Patah Bengkulu,
Yayasan Aisyiyah,Desa Arga Indah II Kec.Merigi Sakti,-
Yayasan Darul Hikmah,"Jl. Sutan Jamil No.29 Gedung Meneng, Rajabasa",0721 705020
Yayasan Pendidikan Islam (YPI) Nur Hayan,"Jl. Raden Sumnardi No. 01, Desa Pekon Trimulyo, Kec. Gedung Surian, Kab. Lampung Barat, Lampung","0828 707 6057, 0813 795 08 911"
Yayasan Pendidikan Matlaut Anwarrejo Agung,Rejoagung Ds. Tanjung Agung Kec. Katibung,
Pondok Pesantren Miftahul Huda,Jl. Trans Sumatra Km.09 Desa Hatta Kec. Bakauheni,81540853473
Pondok Pesantren Salafiyah Daarussalamah,Kampung Bandar Agung Kec. Terusan Unyai,_
Pondok Pesantren Du Ell Firdaus,Kampung Sumber Fajar Kec. Seputih Banyak Kab. Lampung Tengah,_
Pondok Pesantren Riyadlatul Ulum,Desa Bumiharjo 39 B Kec.Batanghari,0725 45094 082870 68681
Ponpes Darussohlikhin,Desa Purwodadi Mekar Kec. Batanghari,0813 7907 4203
"Ponpes Salafiyyah ""Al-Huda""",Desa Tulung Balak Kec.Batanghari,0813 3625 2787
Ponpes Roudotul Falakh,Gg.Pesantren Lingk.III Desa Sukadana Ilir Kec.Sukadana,-
Pondok Pesantren Miftahul Ulum,Desa Rukti Sediyo Kec. Raman Utara Kab. Lampung Timur,81540965235
Yayasan Baitul Muslim,Jl.Ir.H.Djuanda No.19 Labuhan Ratu I Way Jepara,0812 7231 763
Yayasan Pondok Pesantren Syalafiyah Zainul Manaqib,Kp.Pangkal Mas Mulya Kec.Mesuji Timur,_
"Yayasan Nurul Islam, Pondok Pesantren Nurul Islam","Hasan Basri, S.Si (Ketua LM3)",
Pondok Pesantren Madarijul Ulum,Kampung Sawah RT 04/RW II Desa Ciherang Kec. Talang Kab. Tanggamus;,081369153236 / 08287013717
Pondok Pesantren Salafiyah DARUS SHOLIHIN,"Kupang Ulu Pekon Marang Pesisir Selatan, Lampung Barat 34875",
Pondok Pesantren MAMBAUL FALAH,"Kp. Kota Gajah, Kec. Kota Gajah",
Pondok Pesantren NURUL ULUM,"Kp. Kota Gajah, Kec. Kota Gajah",
Pondok Pesantren Roudlotulssholihin,"Jl. KH.Bustamil Karim,Ds.Purwosari Kec.Padang Ratu, Kab Lamteng","082 87088029, 0813 97678596"
Pondok Pesantren JAWAHIRUL ULUM,Desa Kata Raman Kec. Raman Utara,0856 69692553
Pondok Pesantren Roudlatul Quran,"Jl. Mukti Praja Mulyojati 16-B, Metro Lampung","0725 7850439, 0813 79239356"
Pondok Pesantren AL HIDAYAH,"Jl. Veteran No.300, RT.13 Rw.07 Keputran, Kec. Sukoharjo","0815 41427800, 0813 69466567"
Pondok Pesantren TARBIYAH ASSUNIYAH,"Jl.Raya Nurani Jaya, Desa Murni Jaya RT.05/04, Kec. Tumi Jajar",
Yayasan Bulan Sabit Merah  Indonesia (BSMI) Cabang,Jl. Imam Bonjol No.298 Gedeong Air Tanjung Karang Barat,
Yayasan Pendidikan Insan Mulya (YAPIM),"Jl.Prof.Soemantri Bojonegoro,  Gedung Meneng Rajabasa",
Pusat Pemberdayaan Masyarakat MADANI,Jl. Laksamana Malahayati No. 8 Komp. UNILA Cimeng Teuk Betung,
Pondok Pesantren SHUFFAH HIZBULLAH,"Dusun Al Muhajirun, Desa Negara Ratu, Kec.Natar",Fax. 0721-91136; HP  0812-7983342
Yayasan Pondok Pesantren Baitun Nur,"Jl.SMP Negeri I Punggur, Kp.Tanggulangin, Kec.Pungur Kab.Lampung Tengah;","0725-7001354, 0813-79905636"
Pondok Pesantren BAITUSSALAM MIFTACHUL JANNAH,"Desa terbanggi Subing, Kec. Gunung Sugih",081369010036
Pondok Pesantren BUMI SHOLAWAT SAFIINATUN NAJAA,"Desa Wates, Kec. Bumi Ratu Nuban",08127951403
Pondok Pesantren Darun Naiim,Desa Sidomukti Kec. Sekampung,085269831307
Yayasan An Nur Lampung,"Desa Pugung Raharjo, Kec.Sekampung Udik, Kab. Lampung Timur",
Pondok Pesantren MANBAULHUDA AL ISLAMY,"Desa Suka Maju, Kec. Abung Tinggi, Kab. Lampung Utara",0828-7043489
Pondok Pesantren NURUL ISLAM,Desa Banjarwangi Kec. Kotabumi,0813 6906 8710
Yayasan Pendidikan Islam AL IMAN Pondok Pesantren,"Dwi Warga Tunggal Jaya, Kec. Banjaragung, Kab. Tulangbawang, Telp. 0726-750135",
Yayasan Pendidikan Islam AL IMAN Pondok Pesantren,"Gedung Asri, Kec. Penawar Aji, Kab.Tulangbawang",
Pondok Pesantren NURUL FALAH,"Desa Umpu Bhakti,  Kec. Blambangan Umpuh",
Pondok Pesantren Raudlatul Mutaalimin,"Jl.Dr.AK.Gani No.50, Kampung Jaya Tinggi, Kec.Kasui Kab.Way Kanan;","0828-7053461, 0812-7260339"
Pondok Pesantren Bina Islami Krui,"Jl. KH. Muhammad Thohir No.059, Balai Kencana, Pesisir Tengah, Lampung Barat",
Ponpes Barokatul Qodiri,Pugung Tampak Pesisir Utara Lampung Barat,
Ponpes Modern Darussalam Gontor 9,Jl.Gontor Kubu Panglima Desa Taji Malela Kec.Kalianda,
Ponpes Baitussalam,Desa Sendangayu Kec.Padang Ratu,
Ponpes Darussalam Barokatul Qodlin,Kpg.Sumber Bahagaia Kec. Seputih Banyak,
Ponpes Mambaul Hisan,Dsn. Sendang Rejo Kec.Sendang Agung,
Pondok Pesantren Manbaul Ulum,"Jl. Pesantren No. 04, Kampung Gayau Sakti, Kec.Seputih Agung, Kab. Lampung Tengah",
Pondok Pesantren Riyadlatul Falahin,"Jl. Ki Ageng, Dsn Selokampung, Desa Srimulyo, Kec. Kalirejo, Lampung Tengah 34174",
Pesraman Widya Sastra,Desa Kampung Sangga Buana Kec. Way Seputih,
Pondok Pesantren Miftahul Jannah,"Desa Sumbergede, Kec. Sekampung, Kab.Lampung Timur",
Yayasan Miftahul Ulum,"Jl. Flamboyan No. 10, Desa Toto Mulyo, Kec. Way Bungur, Kab. Lampung Timur 34192",
Ponpes Al Fattah,Jl.Pesantren Utama Al-Fattah Mincang Negeri Agung Talang Padang,
Ponpes Syirkatut Tholibin,Sidomulyo Pekon Banjar Masin Kec. Bulo,
Yayasan Pondok Pesantren Putra Putri Nurul Huda,"Jl. Ki Hajar Dewantara No. 42/55, Kec. Pringsewu, Kab.Tanggamus",
Yayasan Ponpes KH. Zahruddin Dahlan,"Jl. Perintis, Sukamaju, Putuhdoh, Kec. Cukuhbalak, Kab. Lampung Selatan",
Yysn Ponpes Zainul Manaqibil Islam (ZAMAIS),Jl. Ponpes No.1  Adiluwih Kec. Adiluwih,
Pondok Pesantren Syalafiyah Miftahul Huda,"Jl. Poros Tirta Laga Rt.15/3,Kec. Mesuji, Kab. Tulang Bawang",
Ponpes Al Falah Songo Songo,Jl.Betoro Guru No.129 Desa Batanghari Kec.Rawa Pitu,
Yayasan Pendidkan Nurul Iman,Jl.Pesantren Rt.04/01 Desa Purworejo Kec.Megeri Katon,0852 7946 7961
Ponpes Salafiyah Nurul Yaqin,"Dusun Gombong, Pujodadi Kec. Pardasuka Kab. Pringsewu Lampung",81369712204
Ponpes Roudlatul Azhar,Jl.Masjid At-Taqwa Desa Dadirejo Kec.Wonosobo,-
Ponpes Salafiyah Hidayatul Fattah,"Ds. Sumanegeri Jaya, Kec. Talangpadang, Kab. Tanggamus",-
Yayasan Tulang Bawang Sejahtera,Dwi Warga Tunggal Jaya Kec. Banjar Agung,
Parisada Hindu Dharma Indonesia,Jl.Lintas timur Cakat Raya,0813 79254 298
Yayasan Pondok Pesantren Darul Muawanah,Kampung Toto Multo Kec. Gunung Terang Kab. Tulang Bawang Barat,081369011249                 08136967996
Pondok Pesantren Darul Falah,Kp.Sukajaya SP.2 Menggala C Kec.Gunung Agung,-
Pondok Pesantren Al Muhajirin,"Jl. Simpang Perlang Koba, Ds. Nibung",
Pondok Pesantren AL ISLAM,"Desa Kemuja, Kec Mendo Barat Kab. Bangka","0813 87080565, 0852 676330091"
Pondok Pesantren NURUL MUHIBBIN,"Desa Kemuja, Kec Mendo Barat Kab. Bangka","0813 73490616, 0852 676330091"
Pondok Pesantren SABIILUL MUHTADIIN,"Desa Jada Bahrin, Kec. Merawang Kab. Bangka",
Pondok Pesantren MIFTAHUL JANNAH,"Desa Pelapus, Kec. Simpang Tertip",
Yayasan Pondok Pesantren NURUL IMAN,"Desa Rajeg Permis, Kec. Simpang Rimbah",
Pondok Pesantren NURUL FALAH,Desa Air Mesu Kec. Pangkalan Baru Kab. Bangka Tengah,
Yayasan BINA ANAK SHALEH,"Jl.Berok Ulu/Air Dok Sungai Selan Kec. Sungai Selan, Kab. Bangka Tengah","0813 73095054, 0852 73513754"
Pondok Pesantren MISBAHUL ULUM,"Desa Badau, Kec. Badau",
Yayasan Panti Asuhan Yatim dan Duafa Muhammadiyah,"Jl.KH. Ahmad Dahlan Air Raya - Pewaras, Kec.Tanjung Pandang",
Yayasan RAUDHATUL ULUM,Belitung Timur,
Pondok Pesantren DARUS SYAFAAH,"Desa Sidoharjo, Kec. Air Gegas",0813 695 15015
Pesantren Darul Kamal Huda,"Jl. Pasir Panjang Km 18 Kel. Pasir Panjang Kec. Meral, Kab. Karimun",
Pondok Pesantren HIDAYATULLAH,"Desa Tuapaya, Kec. Gunung KijangKab. Bintan",
Pondok Pesantren NURUL YAQIN,"Jl.Sultan Sulaiman, Bahrul Alamsyah Kab. Lingga",
Pondok Pesantren AL MARHAMAH,"Kel. Setokok, Kec. Bulang",
Yayasan BINA INSAN SAKINAH,"Jl. Raya Kijang Bt.11 Mesjid Al-Sakinah Perumahan Taman Harapan,  Kab. Tanjung Pinang",
Yayasan Ponpes Ar-Raudhah,Jl. Pertambangan Teluk Uma Kec. Tebing,(0777) 324269-08127728852
Pesantren Baitul Hikmah Tanjung Pinang,Jl.Satria (ganet Km 12) Kp.Karang Rejo Kel.Pinang Kencana,0813 6468 5630
Pondok Pesantren Asshiddiqiyah,"Jl. Surya Sarana Jl. Panjang No.6C RT 005 RW 011 Desa Kedoya Utara Kec Kebon Jeruk Kab, Jakarta Barat  Kode Pos 11520",021 5801650 Fax. 021 5641819
Pondok Pesantren Al Mustaqiim,Jl. Minjul No.RT 006/RW 011 Kel. Munjul Kota Cipayung Kota Jakarta Timur,021 - 8452774 HP  081514729246
Yayasan Darul Nidzom,Jl.Kpg.Gaga RT.002/09 Semanan Kalideres,
Yayasan Al Ausathiyah,Jl.Pahlawan Komaruddin RT 6/5 No.32 C Kel.Ujung Krawang Pulo Gebang Cakung,
Yayasan Pesantren Al Fatah,Komplek Pondok Pesantren Al Fatah Desa/Kec. Gununghalu,
Yayasan Al-Luthfah,Kp. Sindangsari RT. 02/03 Desa Karanganyar Kec.Cililin,0818 0962 0900
Yayasan Islam At Taqwa 26 Tambun,Kampung Tambung Sungai Angke RT04/05 Desa Pahlawan Setia Kec. Tarumajaya,0856 93067637
Yayasan Pondok Pesantren Al Ashriyyah Nurul Iman,Jl. Nurul Iman No. 1 RT. 01 RW. 01 Desa Waru Jaya Kec. Parung,0251 7165512
Pondok Pesantren Al Bakarram,Jl.Raya Puncak Cipayung Gang Habib Umar Rt.01/Rw.01 Desa Cipayung Kec. Megamendung,0251 - 8253958
Pondok Pesantren Al Hasanah,Kp.Cihanjawar Rt.02 Rw.05 Desa Sukagalih Kec. Megamendung,81218642391
Pondok Pesantren Al Ikhlas,Kp.Cibeureum Rt.03/Rw.01 Desa Batulayang Kec. Cisarua Kel.Cisarua,8569941038
Pondok Pesantren Al Jamaliah,Kp.Tegal Batu Rt.01/Rw.03 Desa Cibeureum Kec. Cisarua Kab. Bogor,81380519779
Yayasan Ar-Rahmah,"Jl.Cikerti, Pondok Kacang Permai No.A/10,Ciomas","(0251)8637200, 7521551"
"Lembaga Pendidikan Islam Pondok Pesantren"" Nurul H",Jl.Cibanteng Proyek Km.7 Ds.Situdaun RT.12/03 Kecamatan Tenjolaya,08567659310
Ponpes Nurul Hidayah Coblong,Kp.Coblong Rt/Rw 03/02.Desa Sukakarya Kec.Mengamendung,0812 8931 3812
Ponpes Al Barkah,"Kp. Lembur Tengah RT05/RW06, Desa Kademangan, Kec. Mande",081394137013
Ponpes Al Ikwan,Kp. Cibadak Desa Sukanagalih,081387678735
Ponpes Darul Irsyad,"Jl. KH Munawar Kp.Geger Keler RT01/RW05 Desa Sukasari, Kec. Cilaku",081322405334
Yysn Mahad Manaraul Huda Al- Islami,Jl. Kh. Saleh No. 17 Kp. Pamokolan Desa Sukamanah Kec. Karang Tengah Kab. Cianjur Prov. Jawa Barat,0263 -271344
Yayasan Daarul Quran,"Jl. Telaga Remis, Desa Cikahalang, Kec. Dukupuntang, Kab. Cirebon","0231-83 44 779, 0815 7247 2555"
Pondok Pesantren Darul Muminin,"Desa Asem, Kec. Lemahabang",0231-635451
Pondok Pesantren Darul Ulum,Jl. PU No. 04 Dusun Majasari RT. 17 RW. 04 Desa Bojongkulon Kec. Susukan Kab. Cirebon,085220338243  081312017751
Yayasan Ishlahul Mubtadin,Jalan Desa Prajawinagun Kulon Kaliwedi,-
Pondok Pesantren Al Amin Samarang,"Kp. Barusari RT03 RW02 Desa Sukarasa, Kec. Samarang",
Ponpes Manbaul Huda,"Areng, Ds. /Kec. Cigedug, Kab. Garut",
Yayasan Pendidikan dan Dakwah Islam As-Syabaniyah,Jl.Prapatan Timur No.267 Desa Panjalin Kidul Kec.Sumber Jaya,
Pondok Pesantren Al-Himmah,Jl. Raya Sukabumi-Cianjur Km. 13 No. 9,0266 261136
Yayasan Al-Mustofa,Jl. Raya Gandasoli Km. 4 Desa Cipurut Kec. Cireunghas,085863355859
Ponpes Assalam,Kp. Situ Assalam Ds. Cibodas Kec. Bojonggenteng 43157 PO BOX 03,(0266) 533638-08128635994-Fax (0266) 654
Yayasan Pendidikan Islam Daar El Ibnu Katsir,Dusun Cicalung RT 01 RW. 06 Desa Cilembu Kab. Sumedang,
Yayasan Abdullah bin Masud,Kp. Palahlar RT. 001/005,0265-564221/ 085223585801
Yysn Ponpes Al- Mahdiyyin,Kp. Citoe Rt./Rw. 021/006 Desa Cipatujah Kec. Cipatujah Kab. Tasikmalaya,81809657969
Yayasan Islam Al Imam Asy Syafii,"Kp. Pasirbitung, Desa Kaputihan, Kec. Jatiwaras",
Yayasan Pondok Pesantren Darussaadah,Kp. Curughawu-Puspajaya-Puspahiang Kab. Tasikmalaya,08122460471
Pondok Pesantren Manahijul Huda,Dusun Tejamaya Desa Sukaraja Kec. Rajapolah Kab. Tasikmalaya,0265 - 7111112
Yayasan Fitrah Insani,Jl. Raya Pojok No.96 Ds. Tanimulya Kec. Ngamprah,
Ponpes Nurul Yaqien (Curul Yaqien),"Jl. Merah Delima No.7 RT 01/RW 10, Desa Cibereum, Kec. Cisarua",
Ponpes Nurul Ihsan,"Jl. Arwinda Km. 5, Kp. Kebon MangguRT03/RW04, Desa Sidanglaka, Kec. Karang Tengah",02632293188
Ponpes Muara Jati,Desa Klayan Kec. Gunung Jati,-
YPI Nurul Iman,Desa Ujung Gebang Kec.Susukan Lebak,-
Ponpes Salafiyah Nurul Hidayah,Kp. Cisamak Desa Cisewu Kec. Cisewu,
"Yayasan Sumber Insan Mandiri Majalengka, Majlis Ta",Blok Sabtu Desa Bongas Kulon Kec. Sumberjaya Kab. Majalengka,0233 - 884412
"Yysn Pendidikan Ponpes ""Nurul Rabiah","Kp. Anaka Rw. 08 Kel. Urug. Kec. Kawalu, Kota Tasikmalaya",81221129008
Yayasan Islam Ziadatul Irfan,Jl. AMD Kampung Kapling RT04/04 Desa Pahlawan Setia Kec. Tarumajaya,0813 88055130
Yayasan Pendidikan Islam ummul Choer,Jl.Raya Cisalada No.313 Rt.01/04 Cigombong Bogor,0251 8221461
Ponpes Yatim Piatu yayasan Darul Quran Cisarua,Jl.Raya Puncak Cisarua,0251 253934
Ponpes Raudhlatul Ulum,Kp.Ciawitali Rt.02/04 Desa Cikaroya Kec.Warung Kondang,0819 1219 3570
Ponpes Syarif Hidayatullah,"Kp. Babakan Anyar, RT01/RW03 Desa Cikondang, Kec. Cibeber",058759599722
Yayasan Thoriqul Huda,"Kp. Pasekon RT2/16 Desa Cipanas, Kec. Cipanas",087880884558
Yayasan Prof. DR. H. Kadirun Yahya Surau Baitul Am,"Jl. Curug Raya No. 35 RT. 10 RW. 04 Kel. Curug. Kec. Sawangan, Depok Kota",0251 8611285
YPI Tarbiyatussibyan As Shidiqiyah,Kp.Legokbitung Desa Hegarmanah Kec.Sagaranten,0858 6319 1162
LM3 Yayasan Yatim Piatu  Al-Muawanah,Jl.Cidahu Km.4 Pondok Kaso Tengah Kec.Cidahu,0815 886 1243 / 0813 1950 2298
Pondok Pesantren Tanjung Resik At Taqwa,Jl. Tamansari Babakan Mulya Kel. Sambongjaya Kec. Mangkubumi,0265 - 323776
Pondok Pesantren Al Istiqomah,Gempol Kec. Banyusari Karawang,HP  0815 112 3787
Pondok Pesantren Al Muslim,"Desa A Diarsa, Karawang",0813 202 406
Pondok Pesantren  Al Huda,"Kp. Kosambi rangrang Desa Cikuntul, Kec.Tempuran",0856-91473619
Yayasan Yatim Piatu AMANAH,"Kiarakuda RT.01/07, Desa Pakemitan, Kec. Ciawi Kab. Tasikmalaya,",0265-453765
Pondok Pesantren Darul Takwin,"Kp. Ceger, Kec. Sukatani, Bekasi",
Pondok Pesantren Al Kahfi,Jl. SPN Lido Srogol Kec. Gombong. Kab. Bogor,
Al Musri,"Ciendong Kec Ciranjang, Ds. Kertajaya RT / RW 03/07",
Pesantren Tahfidz Quran Terpadu Al Hikmah,"Jl. Raya Imam Bonjol No. 13 Ds. Bobos Dukupuntang, Kab. Cirebon, Prov. Jawa Barat",
Pondok Pesantren Al Khoer,"Kp. Waru, Rt.01/Rw.03, Desa Warga Setra, Kec. Tegal Waru",
Yayasan Husnul Khotimah,"Jl. Maniskidul, Maniskidul Jalaksana Kuningan",0232 - 613808; F. 0232 - 613809; email:
Pondok Pesantren Al Hidayah,"Kp. Setiong, Desa Cicalengka Kulon Kec. Cicalengka",022 794687
Pondok Pesantren Nurul Huda,"Desa Cikole, Kec. Lembang, Bandung -",085218838008
Yayasan Sabil Al Saadah,Jl. Terusan Gegerkalong Hilir 22/39 Ds. Ciwaruga Kec. Parongpong,
Pondok Pesantren Persatuan Islam 85,"Jl. Batu Lawang No.47/A Desa Legar Sari, Kec. Petarungan",0265 744272
Yayasan Pendidikan dan Sosial/Pondok Pesantren Tar,Jl. Buek Raya Desa Sumber Jaya Tambun Bekasi,021 88326403
Yayasan Perguruan Islam DARUL HIKMAH (YAPIDH),"Komsen-Kranggan KM.3 Kp.Pedurenan Jatiluhur-Jatiasih, Bekasi",
Pondok Pesantren Al Aulia,Jl. KH Abd Hamid KM 3Situ Ilir Kec.Cibungbulan,0251 642194
Yayasan NURUL FAJAR,RT/RW 04/04 No.01 Kp.Carangpulang Kec.DarmagaKec.Darmaga,
Yayasan RAHMATAN LIL ALAMIN (RLA),Jl.Raya Bogor-Leuwiliang KM. 16  Kp.Cipakel RT/RW 05/04 Desa Leweungkolot Kec.Cibungbulang,
Pondok Pesantren Tahfidzul Quran NURUL FIKRI,"Desa Jatisari, Cileungsi",
Pondok Pesantren Banyulana,Nanggewer-Jelat-Ciamis,
Pondok Pesantren NURUL HUDA Wanasari,"Desa Sindangherang,  Kec. Panumbangan",
Ponpres Pasca Tsunami Thiyyibah HUSNUL KHOTIMAH,Jl. Sumardi No.26 Banyuasin Pangandaran,"0265 31187, 0815 14714908"
Pondok Pesantren Al Uzlah,"Kampung Buniaga, Desa Ciherang Kec. Pacet",
Pondok Pesantren ASSAADAH,"Kampung Joglo, Desa Cikangkarang Kec. Cibinong Kab. Cianjur","0813 22387386,0815 72535189"
Ponpres Putra Putri MIFTAHUL HUDA Babakan Baru,Neglasa Bojongpicung Cianjur,
Kopontren Al Hidayat,Jl. Gandang ManisNo.58Pesantren Babakan Ciwaringin,"0231 342189, 0231 342108"
Yayasan Pendidikan Islam NURUSSHOLIHIN,"Desa Tegal Sari, Kec.Plered",
Pondok Pesantren HIDAYATUL FAIZIEN,Urug Cikedokan Bayongbong Garut (0262 240003),
Ponpes Al Islam As Salaf Al Islahiyah,Desa Serengseng Indramayu,0813 24574013
Pondok Pesantren Darul Ulum,Desa Gabus Kulon Kec. Gabus Wetan Kab.Indramayu,
Pondok Pesantren Nurul Hikmah,Jl.KH Muktar Dahiyan No.4 B Sukajati Haur Geulis 45264,
Yayasan Pendidikan Islam/Ponpres TARBIYATUL ROUDLO,Sedong Cengkingan Karangampel,0234 484775
Yayasan Pondok Pesantren AL ANSORIYAH,"Kp. Cirawa Rt/Rw.03/01, Desa Cinta Langgeng, Kec. Tegal Waru",
Yayasan Binaul Ummah,"Kel. Cipari Kec. Cigugur,","0232-8881490, HP  081321351566"
Lembaga Pendidikan Pondok Pesantren Nurul Huda,"Huludayeuh Desa Timbang Kec. Cigandamekar, Kab Kuningan",
Pondok Pesantren Roudlatul Ulum,"Jalan Raya Sukamulya RT 03/02 Kel. Sukamulya, Kec. Cigugur",
Yayasan AL LUKMAN,Jl.Raya Tonjong No.36,
Yayasan AL QISTH,"Lingk. Munjul RT. 03 RW. 03  Kel. Munjul, Kec. Majalengka",
Yayasn DARUT TAQWA INSAN KAMIL,Jl.KH.Abdul Halim No.73 Majalengka,
Pondok Pesantren MIFTAHUL ULUM,Desa Jati Tengah Kec. Jati Tujuh,
Pondok Pesantren NASHIRUL HUDA,Desa Nagara Kembang Kec. Cingahul,
Pondok Pesantern NURUL HUDA,Desa Panjalin Kidul Kec. Sumber Jaya,
Yayasan AL WUSTHO,Ds.Cihambulu Pabuaran-Subang,
Yayasan As Syifa  AL KHOERIYYAH,Jl. Raya Bandung-Subang Km. 12 Desa Tambakmekar Jalancagak-Subang,
Ponpres Modern DARUSSALAM,Mekarsari Ciasem Baru Ciasem Subang,
Pondok Pesantren IANATUL MUALA,Dsn. Jatibaru RT.03/01 Desa Mulyasari Kec. Binong,0813 24001448
Yayasan JABAL THORIQ,"Jl. KD Ciseuti, Desa Jalancagak, Kec.Jalancagak, Kab. Subang",
